iteration,cost,wirecount,intersectioncount
372,3216821,13121,10679
373,2892649,12049,9602
374,3640049,14549,12085
375,3607537,14437,11977
376,4021719,15819,13353
377,3742387,14887,12425
378,3312253,13453,10996
379,3128029,12829,10384
380,4242651,16551,14087
381,3209315,13115,10654
382,3592191,14391,11926
383,4328739,16839,14373
384,3839613,15213,12748
385,2819817,11817,9360
386,3103049,12749,10301
387,3971147,15647,13185
388,3513021,14121,11663
389,3037735,12535,10084
390,3489841,14041,11586
391,3764359,14959,12498
392,2988675,12375,9921
393,3315263,13463,11006
394,3628609,14509,12047
395,3426021,13821,11374
396,3500385,14085,11621
397,3376667,13667,11210
398,3994929,15729,13264
399,3322175,13475,11029
400,3486537,14037,11575
401,3170779,12979,10526
402,3857059,15259,12806
403,3318573,13473,11017
404,3062719,12619,10167
405,3381783,13683,11227
406,3739669,14869,12416
407,3328511,13511,11050
408,3833893,15193,12729
409,4168305,16305,13840
410,3538011,14211,11746
411,3766147,14947,12504
412,3174393,12993,10538
413,4371783,16983,14516
414,3161443,12943,10495
415,3688511,14711,12246
416,3058797,12597,10154
417,3121115,12815,10361
418,3017263,12463,10016
419,3806801,15101,12639
420,3326393,13493,11043
421,3196365,13065,10611
422,3939529,15529,13080
423,3930811,15511,13051
424,4735693,18193,15725
425,3221351,13151,10694
426,3861583,15283,12821
427,3821245,15145,12687
428,4159257,16257,13810
429,3358299,13599,11149
430,3311645,13445,10994
431,3566301,14301,11840
432,3306835,13435,10978
433,3112967,12767,10334
434,3993725,15725,13260
435,3125331,12831,10375
436,3321277,13477,11026
437,3701751,14751,12290
438,3441389,13889,11425
439,3817641,15141,12675
440,3681585,14685,12223
441,3268585,13285,10851
442,3927505,15505,13040
443,3265285,13285,10840
444,3140073,12873,10424
445,3617771,14471,12011
446,3760747,14947,12486
447,4411515,17115,14648
448,3285155,13355,10906
449,2880591,11991,9562
450,3875433,15333,12867
451,3216237,13137,10677
452,4421147,17147,14680
453,2953755,12255,9805
454,4029541,15841,13379
455,3851049,15249,12786
456,3207211,13111,10647
457,4010583,15783,13316
458,3355591,13591,11140
