iteration,cost,wirecount,intersectioncount
389,129117,1617,425
390,128217,1617,422
391,127035,1635,418
392,126739,1639,417
393,126443,1643,416
394,126147,1647,415
395,125571,1671,413
396,125555,1655,413
397,124349,1649,409
398,123749,1649,407
399,123447,1647,406
400,123147,1647,405
401,122847,1647,404
402,122243,1643,402
403,121363,1663,399
404,120465,1665,396
405,119865,1665,394
406,119559,1659,393
407,119265,1665,392
408,118665,1665,390
409,117167,1667,385
410,117163,1663,385
411,116863,1663,384
412,116563,1663,383
413,116263,1663,382
414,116259,1659,382
415,115371,1671,379
416,114177,1677,375
417,113831,1631,374
418,113529,1629,373
419,112927,1627,371
420,112633,1633,370
421,112627,1627,370
422,112025,1625,368
423,111681,1581,367
424,111359,1559,366
425,111341,1541,366
426,109531,1531,360
427,109527,1527,360
428,109225,1525,359
429,109223,1523,359
430,108625,1525,357
431,108615,1515,357
432,108017,1517,355
433,107717,1517,354
434,107115,1515,352
435,106201,1501,349
436,104099,1499,342
437,103817,1517,341
438,103799,1499,341
439,103501,1501,340
440,103487,1487,340
441,103471,1471,340
442,103469,1469,340
443,103463,1463,340
444,102561,1461,337
445,102557,1457,337
446,102253,1453,336
447,102249,1449,336
448,101951,1451,335
449,101947,1447,335
450,101045,1445,332
451,100745,1445,331
452,100447,1447,330
453,100147,1447,329
454,99849,1449,328
455,99843,1443,328
456,98303,1403,323
457,98301,1401,323
458,97413,1413,320
459,97405,1405,320
460,96251,1451,316
461,95953,1453,315
462,95651,1451,314
463,94759,1459,311
464,94459,1459,310
465,94165,1465,309
466,93859,1459,308
467,93573,1473,307
468,93287,1487,306
469,92987,1487,305
470,91787,1487,301
471,91187,1487,299
472,90893,1493,298
473,90889,1489,298
474,90595,1495,297
475,90297,1497,296
476,89995,1495,295
477,89981,1481,295
478,88479,1479,290
479,87879,1479,288
480,87579,1479,287
481,87577,1477,287
482,87575,1475,287
483,87571,1471,287
484,86967,1467,285
485,86965,1465,285
486,86695,1495,284
487,86693,1493,284
488,86391,1491,283
489,86091,1491,282
490,85797,1497,281
491,85493,1493,280
492,85491,1491,280
493,85489,1489,280
494,85189,1489,279
495,84889,1489,278
496,84885,1485,278
497,84587,1487,277
498,84289,1489,276
499,83987,1487,275
500,83985,1485,275
501,83353,1453,273
502,83053,1453,272
503,82759,1459,271
504,82457,1457,270
505,81583,1483,267
506,80683,1483,264
507,80677,1477,264
508,80075,1475,262
