iteration,cost,wirecount,intersectioncount
664,13768,268,45
665,65374,574,216
666,37040,440,122
667,9166,166,30
668,17672,272,58
669,26478,378,87
670,29780,380,98
671,30040,340,99
672,40942,442,135
673,46978,478,155
674,6516,216,21
675,24052,352,79
676,51776,476,171
677,43332,432,143
678,30088,388,99
679,33100,400,109
680,28548,348,94
681,28882,382,95
682,14086,286,46
683,28574,374,94
684,20384,284,67
685,15840,240,52
686,30352,352,100
687,8822,122,29
688,45160,460,149
689,3968,68,13
690,37304,404,123
691,43040,440,142
692,50280,480,166
693,22202,302,73
694,32992,292,109
695,54846,546,181
696,41224,424,136
697,41182,382,136
698,35234,434,116
699,41210,410,136
700,3066,66,10
701,23356,256,77
702,55416,516,183
703,21936,336,72
704,10992,192,36
705,19190,290,63
706,35244,444,116
707,20438,338,67
708,15302,302,50
709,20990,290,69
710,56636,536,187
711,39760,460,131
712,25752,252,85
713,29432,332,97
714,10118,218,33
715,27694,394,91
716,109964,764,364
717,53578,478,177
718,25582,382,84
719,22818,318,75
720,52400,500,173
721,25578,378,84
722,21346,346,70
723,47590,490,157
724,13150,250,43
725,14378,278,47
726,91262,662,302
727,3770,170,12
728,28868,368,95
729,21584,284,71
730,34632,432,114
731,18008,308,59
732,27104,404,89
733,36426,426,120
734,10386,186,34
735,65344,544,216
736,61432,532,203
737,13422,222,44
738,39114,414,129
739,16734,234,55
740,78918,618,261
741,63582,582,210
742,48468,468,160
743,100634,734,333
744,21628,328,71
745,2588,188,8
746,56902,502,188
747,2876,176,9
748,27002,302,89
749,19524,324,64
750,16210,310,53
751,79834,634,264
752,33328,328,110
753,13804,304,45
754,47270,470,156
755,23078,278,76
756,71392,592,236
757,31606,406,104
758,36110,410,119
759,17708,308,58
760,40948,448,135
761,18036,336,59
762,30088,388,99
763,18668,368,61
764,30050,350,99
765,43594,394,144
766,18028,328,59
767,19176,276,63
768,38204,404,126
769,35204,404,116
770,22512,312,74
771,71992,592,238
772,25554,354,84
773,16102,202,53
774,35500,400,117
775,34894,394,115
776,21322,322,70
777,42758,458,141
778,68384,584,226
779,4038,138,13
780,18296,296,60
781,74996,596,248
782,78860,560,261
783,49422,522,163
784,27940,340,92
785,6484,184,21
786,4342,142,14
787,3718,118,12
788,4000,100,13
789,35170,370,116
790,32476,376,107
791,22500,300,74
792,6736,136,22
793,79812,612,264
794,38540,440,127
795,22262,362,73
796,4894,94,16
797,8004,204,26
798,7116,216,23
799,32240,440,106
800,44252,452,146
801,36384,384,120
802,30898,298,102
803,37930,430,125
804,43384,484,143
805,9498,198,31
806,10040,140,33
807,14684,284,48
808,51802,502,171
809,21308,308,70
810,31264,364,103
811,16408,208,54
812,44268,468,146
813,27036,336,89
814,18614,314,61
815,2526,126,8
816,45758,458,151
817,19868,368,65
818,23132,332,76
819,21924,324,72
820,41228,428,136
821,31010,410,102
822,16510,310,54
823,17368,268,57
824,51820,520,171
825,41820,420,138
826,22554,354,74
827,32174,374,106
828,16830,330,55
829,9856,256,32
830,6844,244,22
831,32810,410,108
832,63856,556,211
833,12212,212,40
834,95806,706,317
835,47276,476,156
836,24674,374,81
837,16798,298,55
838,46676,476,154
839,13428,228,44
840,8630,230,28
841,5014,214,16
842,18586,286,61
843,69278,578,229
844,22854,354,75
845,1922,122,6
846,30356,356,100
847,12522,222,41
848,50878,478,168
849,11330,230,37
850,30682,382,101
